Цена,Количество_комнат,Общая_площадь,Этаж,Ремонт,Отделка,Способ_продажи,Тип_дома,Пассажирский_лифт,Грузовой_лифт,Тип_участия,Широта_Объекта,Долгота_Объекта,комендантский проспект_dist,крестовский остров_dist,шушары_dist,парнас_dist,купчино_dist,улица дыбенко_dist,девяткино_dist,проспект ветеранов_dist,Цена_кв_м,Цена_кв_м_кат,Балкон_или_лоджия_свертка,Вид_сделки_свертка,В_доме_свертка,Двор_свертка,Мебель_свертка,Окна_свертка,Парковка_свертка,Санузел_свертка,Техника_свертка,Тип_комнат_свертка,Возраст_дома,Грузовой_лифт_no_info,Пассажирский_лифт_no_info
9990000,2,62.1,16,no_info,no_info,свободная,панельный,0,0,no_info,59.851137,30.417486,24.854,22.099,3.855,25.726,5.215,9.624,22.301,18.574,160869.5652173913,1,1,1,0,0,0,0,0,1,0,1,15,1,1
17500000,2,72.0,3,no_info,no_info,свободная,монолитный,0,0,no_info,60.05856,30.288919,6.492,10.181,30.958,5.079,27.192,27.364,17.153,24.428,243055.55555555556,2,1,0,0,0,0,2,0,1,0,1,11,1,1
13000000,0,34.4,5,дизайнерский,no_info,свободная,монолитный,3,1,no_info,59.906508,30.322794,13.397,10.112,15.547,17.877,10.357,17.839,20.821,10.752,377906.9767441861,4,0,0,0,1,3,1,2,1,3,0,1,0,0
9721935,3,79.4,5,no_info,предчистовая,no_info,монолитный,0,1,другое,59.696506,30.408538,38.474,34.794,13.982,42.0,15.254,24.868,39.491,23.873,122442.5062972292,0,0,0,0,0,0,0,0,0,0,1,0,0,1
8700000,1,35.0,2,no_info,no_info,no_info,монолитный,0,0,другое,59.904378,30.308143,12.82,9.245,16.722,18.295,11.184,19.469,22.075,9.423,248571.42857142858,2,1,0,0,0,0,1,0,1,0,0,0,1,1
9300000,2,68.8,13,no_info,no_info,свободная,монолитный,0,0,no_info,59.946135,30.48264,25.84,24.968,15.078,21.303,17.562,4.303,12.372,28.261,135174.41860465117,0,1,0,0,0,0,2,0,1,0,1,16,1,1
30000000,3,104.0,17,дизайнерский,no_info,свободная,кирпичный,3,0,no_info,60.056481,30.312185,7.981,11.085,29.5,2.675,26.163,25.22,14.559,24.787,288461.53846153844,3,1,1,0,3,3,1,1,1,3,1,12,1,0
6300000,1,32.6,7,no_info,чистовая,переуступка,панельный,1,1,ДДУ по ФЗ 214,59.957624,30.405511,17.274,16.31,15.593,14.531,14.588,10.29,11.1,21.476,193251.5337423313,1,1,1,0,3,0,2,1,1,0,0,-1,0,0
8500000,2,47.2,2,косметический,no_info,свободная,кирпичный,1,0,no_info,59.865144,30.45296,26.839,24.557,5.501,26.046,9.442,5.783,20.593,22.635,180084.74576271186,1,1,1,0,1,3,2,1,1,2,1,48,1,0
3800000,0,21.1,2,no_info,no_info,свободная,монолитный,0,0,no_info,59.804961,30.358529,25.204,21.567,8.412,29.248,3.354,17.943,28.825,12.686,180094.78672985782,1,1,0,0,0,0,1,0,1,0,0,0,1,1
